EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII
598,598,True,473,473,.\WINDOWS\system32\drivers,usbcamd.sys,.sys,23808,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-17 14:03:42.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-19 22:47:44.1174496,2004-08-19 00:00:00.0000000,0,25520776,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
599,599,True,473,473,.\WINDOWS\system32\drivers,usbcamd2.sys,.sys,23936,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-17 14:03:44.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-19 22:47:44.1274640,2004-08-19 00:00:00.0000000,0,25520837,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
600,600,True,473,473,.\WINDOWS\system32\drivers,vdmindvd.sys,.sys,58112,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-17 14:02:14.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-19 22:47:46.4107472,2004-08-19 00:00:00.0000000,0,25544147,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
601,601,True,473,473,.\WINDOWS\system32\drivers,ws2ifsl.sys,.sys,12032,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3761008,2001-08-23 18:00:00.0000000,2004-08-19 22:48:20.8402544,2004-08-19 00:00:00.0000000,0,26167617,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
602,602,True,473,473,.\WINDOWS\system32\drivers,update.sys,.sys,137088,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-27 15:08:09.9750624,2004-08-19 00:00:00.0000000,0,37986424,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
603,603,True,473,473,.\WINDOWS\system32\drivers,mnmdd.sys,.sys,4224,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.1557840,2001-08-23 18:00:00.0000000,2004-08-27 15:08:13.7204480,2004-08-19 00:00:00.0000000,0,37994576,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
604,604,True,473,473,.\WINDOWS\system32\drivers,usbintel.sys,.sys,15104,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-17 14:03:52.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-19 22:47:44.2075792,2004-08-19 00:00:00.0000000,0,25785725,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
605,605,True,473,473,.\WINDOWS\system32\drivers,i8042prt.sys,.sys,50944,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.0656544,2001-08-23 18:00:00.0000000,2004-08-27 15:08:06.9306848,2004-08-19 00:00:00.0000000,0,37982744,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
606,606,True,473,473,.\WINDOWS\system32\drivers,isapnp.sys,.sys,35840,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.1357552,2001-08-23 18:00:00.0000000,2004-08-19 22:44:22.6076928,2004-08-19 00:00:00.0000000,0,36425456,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
607,607,True,473,473,.\WINDOWS\system32\drivers,acpi.sys,.sys,179200,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:15.7251648,2001-08-23 18:00:00.0000000,2004-08-19 22:41:44.9910512,2004-08-19 00:00:00.0000000,0,36422535,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
608,608,True,473,473,.\WINDOWS\system32\drivers,acpiec.sys,.sys,11648,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:15.7251648,2001-08-23 18:00:00.0000000,2004-08-19 22:41:45.0611520,2004-08-19 00:00:00.0000000,0,19926404,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
609,609,True,473,473,.\WINDOWS\system32\drivers,oprghdlr.sys,.sys,3456,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.2759568,2001-08-23 18:00:00.0000000,2004-08-19 22:46:00.2681216,2004-08-19 00:00:00.0000000,0,23525579,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
610,610,True,473,473,.\WINDOWS\system32\drivers,pci.sys,.sys,62464,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.2859712,2001-08-23 18:00:00.0000000,2004-08-19 22:46:04.7245296,2004-08-19 00:00:00.0000000,0,36427869,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
611,611,True,473,473,.\WINDOWS\system32\drivers,intelide.sys,.sys,4608,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.1057120,2001-08-23 18:00:00.0000000,2004-08-19 22:44:19.6534448,2004-08-19 00:00:00.0000000,0,36425330,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
612,612,True,473,473,.\WINDOWS\system32\drivers,usbhub.sys,.sys,50688,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-27 15:08:10.1553216,2004-08-19 00:00:00.0000000,0,37986546,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
613,613,True,473,473,.\WINDOWS\system32\drivers,hidclass.sys,.sys,33152,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.0656544,2001-08-23 18:00:00.0000000,2004-08-19 22:43:28.3296448,2004-08-19 00:00:00.0000000,0,21802236,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
614,614,True,473,473,.\WINDOWS\system32\drivers,hidparse.sys,.sys,23680,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.0656544,2001-08-23 18:00:00.0000000,2004-08-19 22:43:28.3496736,2004-08-19 00:00:00.0000000,0,21932042,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
615,615,True,473,473,.\WINDOWS\system32\drivers,usbd.sys,.sys,4736,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-27 15:08:10.1553216,2004-08-19 00:00:00.0000000,0,37986485,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
616,616,True,473,473,.\WINDOWS\system32\drivers,usbport.sys,.sys,123264,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-27 15:08:06.9907712,2004-08-19 00:00:00.0000000,0,37983251,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
617,617,True,473,473,.\WINDOWS\system32\drivers,usbuhci.sys,.sys,18944,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.3660864,2001-08-23 18:00:00.0000000,2004-08-27 15:08:06.9907712,2004-08-19 00:00:00.0000000,0,37983312,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
618,618,True,473,473,.\WINDOWS\system32\drivers,mouclass.sys,.sys,22016,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-17 13:47:58.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.1657984,2001-08-23 18:00:00.0000000,2004-08-27 15:08:06.9406992,2004-08-19 00:00:00.0000000,0,37982805,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
619,619,True,473,473,.\WINDOWS\system32\drivers,kbdclass.sys,.sys,23424,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:16.1557840,2001-08-23 18:00:00.0000000,2004-08-27 15:08:06.9406992,2004-08-19 00:00:00.0000000,0,37982866,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
620,620,True,459,459,.\WINDOWS\system32,ras,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9200000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-27 15:32:49.1051648,2004-08-19 00:00:00.0000000,0,39288374,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
621,621,True,620,620,.\WINDOWS\system32\ras,cis.scp,.scp,733,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:18.4390672,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9656463,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
622,622,True,620,620,.\WINDOWS\system32\ras,pad.inf,.inf,14527,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:18.4490816,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9656596,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
623,623,True,620,620,.\WINDOWS\system32\ras,pppmenu.scp,.scp,2815,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:18.4490816,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9656711,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
624,624,True,620,620,.\WINDOWS\system32\ras,slip.scp,.scp,2375,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:18.4490816,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9656826,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
625,625,True,620,620,.\WINDOWS\system32\ras,slipmenu.scp,.scp,2813,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:18.4490816,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9657011,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
626,626,True,620,620,.\WINDOWS\system32\ras,switch.inf,.inf,6213,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:18.4490816,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9657126,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
627,627,True,459,459,.\WINDOWS\system32,spool,,0,1,,True,False,False,False,False,False,Directory,DosWindows,2004-08-19 16:50:37.9200000,,2004-08-19 22:21:05.6689936,2004-08-19 16:50:38.0000000,2004-08-19 22:21:05.6689936,2004-08-19 16:50:38.0000000,2004-08-19 22:21:05.6689936,2004-08-19 00:00:00.0000000,0,12752967,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
628,628,True,627,627,.\WINDOWS\system32\spool,drivers,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9200000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:19.2502336,2004-08-19 00:00:00.0000000,0,9680518,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
629,629,True,628,628,.\WINDOWS\system32\spool\drivers,w32x86,,0,1,,True,False,False,False,False,False,Directory,DosWindows,2004-08-19 16:50:37.9300000,,2004-08-26 15:07:54.8985552,2004-08-19 16:50:38.0000000,2004-08-26 15:07:54.8985552,2004-08-19 16:50:38.0000000,2004-08-26 15:07:54.8985552,2004-08-19 00:00:00.0000000,0,37905781,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
630,630,True,629,629,.\WINDOWS\system32\spool\drivers\w32x86,3,,0,1,,True,False,False,False,False,False,Directory,DosWindows,2004-08-19 16:50:37.9300000,,2004-08-26 15:07:45.3748608,2004-08-19 16:50:38.0000000,2004-08-26 15:07:45.3748608,2004-08-19 16:50:38.0000000,2004-08-26 15:07:45.3748608,2004-08-19 00:00:00.0000000,0,37905840,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
631,631,True,628,628,.\WINDOWS\system32\spool\drivers,color,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9500000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:19.2502336,2004-08-19 00:00:00.0000000,0,9680142,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
632,632,True,631,631,.\WINDOWS\system32\spool\drivers\color,adod6522.icm,.icm,1616,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2402192,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9678941,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
633,633,True,631,631,.\WINDOWS\system32\spool\drivers\color,appd6518.icm,.icm,1608,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2402192,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9679077,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
634,634,True,631,631,.\WINDOWS\system32\spool\drivers\color,Diamond Compatible 9300K G2.2.icm,.icm,614,1,,False,False,False,False,True,False,Archive,Windows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9679195,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
635,635,True,631,631,.\WINDOWS\system32\spool\drivers\color,Hitachi Compatible 9300K G2.2.icm,.icm,610,1,,False,False,False,False,True,False,Archive,Windows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9679345,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
636,636,True,631,631,.\WINDOWS\system32\spool\drivers\color,kodak_dc.icm,.icm,174020,1,,False,False,False,False,True,False,Archive,DosWindows,2001-07-21 20:26:14.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9679621,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
637,637,True,631,631,.\WINDOWS\system32\spool\drivers\color,NEC Compatible 9300K G2.2.icm,.icm,614,1,,False,False,False,False,True,False,Archive,Windows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9679739,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
638,638,True,631,631,.\WINDOWS\system32\spool\drivers\color,sRGB Color Space Profile.icm,.icm,3144,1,,False,False,False,False,True,False,Archive,Windows,2001-07-21 14:40:50.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 22:47:16.2073168,2004-08-19 00:00:00.0000000,0,25218337,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
639,639,True,631,631,.\WINDOWS\system32\spool\drivers\color,Trinitron Compatible 9300K G2.2.icm,.icm,610,1,,False,False,False,False,True,False,Archive,Windows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9680047,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
640,640,True,631,631,.\WINDOWS\system32\spool\drivers\color,is330.icm,.icm,14576,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 17:02:19.2502336,2001-08-23 18:00:00.0000000,2004-08-19 00:00:00.0000000,,0,9679503,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
641,641,True,627,627,.\WINDOWS\system32\spool,prtprocs,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9300000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:19.1200464,2004-08-19 00:00:00.0000000,0,9678576,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
642,642,True,641,641,.\WINDOWS\system32\spool\prtprocs,w32x86,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9300000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:19.1200464,2004-08-19 00:00:00.0000000,0,9678697,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
643,643,True,459,459,.\WINDOWS\system32,wins,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9300000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:14.7137104,2004-08-19 00:00:00.0000000,0,9493307,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
644,644,True,459,459,.\WINDOWS\system32,dhcp,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9300000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:15.5649344,2004-08-19 00:00:00.0000000,0,9531694,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
645,645,True,459,459,.\WINDOWS\system32,ShellExt,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9500000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:02:18.7394992,2004-08-19 00:00:00.0000000,0,9673941,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
646,646,True,459,459,.\WINDOWS\system32,Setup,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9500000,,2004-08-19 16:50:38.0000000,,2004-08-19 16:50:38.0000000,,2004-08-19 17:01:20.0851584,2004-08-19 00:00:00.0000000,0,9065098,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
647,647,True,646,646,.\WINDOWS\system32\Setup,comsetup.dll,.dll,259584,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:42:26.7410848,2004-08-19 00:00:00.0000000,0,21082853,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
648,648,True,646,646,.\WINDOWS\system32\Setup,fp40ext.dll,.dll,32828,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:43:07.5798080,2004-08-19 00:00:00.0000000,0,21611662,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
649,649,True,646,646,.\WINDOWS\system32\Setup,fxsocm.dll,.dll,122368,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:32:20.6796112,2004-08-19 00:00:00.0000000,0,15746467,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
650,650,True,646,646,.\WINDOWS\system32\Setup,iis.dll,.dll,468480,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:44:02.7591520,2004-08-19 00:00:00.0000000,0,22098568,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
651,651,True,646,646,.\WINDOWS\system32\Setup,imsinsnt.dll,.dll,115712,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:44:15.7077712,2004-08-19 00:00:00.0000000,0,26214635,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
652,652,True,646,646,.\WINDOWS\system32\Setup,msmqocm.dll,.dll,151552,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:23.1647696,2004-08-19 00:00:00.0000000,0,23035615,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
653,653,True,646,646,.\WINDOWS\system32\Setup,netoc.dll,.dll,71168,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:41.2307472,2004-08-19 00:00:00.0000000,0,23290184,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
654,654,True,646,646,.\WINDOWS\system32\Setup,msdtcstp.dll,.dll,82432,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:08.1231408,2004-08-19 00:00:00.0000000,0,22842436,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
655,655,True,646,646,.\WINDOWS\system32\Setup,ntoc.dll,.dll,61440,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:56.2122896,2004-08-19 00:00:00.0000000,0,23466119,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
656,656,True,646,646,.\WINDOWS\system32\Setup,ocgen.dll,.dll,11776,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:58.1550832,2004-08-19 00:00:00.0000000,0,23492770,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
657,657,True,646,646,.\WINDOWS\system32\Setup,setupqry.dll,.dll,96768,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:46:44.1712512,2004-08-19 00:00:00.0000000,0,24018399,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
658,658,True,646,646,.\WINDOWS\system32\Setup,tsoc.dll,.dll,99840,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:47:39.2003792,2004-08-19 00:00:00.0000000,0,25479382,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
659,659,True,646,646,.\WINDOWS\system32\Setup,zoneoc.dll,.dll,8261,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:48:23.7544448,2004-08-19 00:00:00.0000000,0,26010283,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
660,660,True,646,646,.\WINDOWS\system32\Setup,fsconins.dll,.dll,6144,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:43:12.6070368,2004-08-19 00:00:00.0000000,0,21656992,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
661,661,True,646,646,.\WINDOWS\system32\Setup,ocmsn.dll,.dll,36864,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:58.2051552,2004-08-19 00:00:00.0000000,0,23493523,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
662,662,True,646,646,.\WINDOWS\system32\Setup,msgrocm.dll,.dll,24606,1,,False,False,False,False,True,False,Archive,DosWindows,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2001-08-23 18:00:00.0000000,,2004-08-19 22:45:12.0287568,2004-08-19 00:00:00.0000000,0,22897121,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
663,663,True,459,459,.\WINDOWS\system32,wbem,,0,1,,True,False,False,False,True,False,Directory,DosWindows,2004-08-19 16:50:37.9600000,,2004-08-19 22:40:21.0002784,2004-08-19 16:50:38.0000000,2004-08-19 22:40:21.0002784,2004-08-19 16:50:38.0000000,2004-08-27 15:08:06.2396912,2004-08-19 00:00:00.0000000,0,37981418,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
