EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII
19,19,True,17,17,.\WIN98,BASE5.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.6737184,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767183,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
20,20,True,17,17,.\WIN98,BASE6.CAB,.CAB,191747,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.6737184,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767295,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
21,21,True,17,17,.\WIN98,CATALOG3.CAB,.CAB,274460,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.6737184,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767407,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
22,22,True,17,17,.\WIN98,CHL99.CAB,.CAB,14451,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.6737184,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767527,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
23,23,True,17,17,.\WIN98,DELTEMP.COM,.COM,496,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7037616,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767639,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
24,24,True,17,17,.\WIN98,DOSSETUP.BIN,.BIN,85050,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7037616,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767751,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
25,25,True,17,17,.\WIN98,DRIVER11.CAB,.CAB,1462272,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7037616,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767863,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
26,26,True,17,17,.\WIN98,DRIVER12.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7037616,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9767983,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
27,27,True,17,17,.\WIN98,DRIVER13.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7338048,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768095,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
28,28,True,17,17,.\WIN98,DRIVER14.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7338048,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768207,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
